,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kutum,14.2,24.6667,82.47,20,23,6.91,SD,1666200986
1,Castro,-24.7911,-50.0119,73.36,71,36,6.42,BR,1666200987
2,Hilo,19.7297,-155.09,80.28,82,100,4.61,US,1666200987
3,Busselton,-33.65,115.3333,57.85,88,29,5.77,AU,1666200988
4,Avarua,-21.2078,-159.775,73.45,78,75,9.22,CK,1666200988
5,Rikitea,-23.1203,-134.9692,70.12,70,50,17.74,PF,1666200989
6,Jamestown,42.097,-79.2353,41.02,95,100,13.0,US,1666200989
7,Port Alfred,-33.5906,26.891,75.04,81,10,14.92,ZA,1666200990
8,Itarema,-2.9248,-39.9167,85.1,61,97,20.4,BR,1666200990
9,George Town,5.4112,100.3354,80.53,88,40,13.0,MY,1666200895
10,Nanortalik,60.1432,-45.2371,36.75,96,100,23.13,GL,1666200991
11,Mataura,-46.1927,168.8643,38.35,97,92,2.62,NZ,1666200991
12,Mokhsogollokh,61.4681,128.9203,26.04,89,100,9.95,RU,1666200992
13,Hamadan,34.7992,48.5146,58.08,36,0,9.22,IR,1666200992
14,Scarborough,54.2797,-0.4044,53.17,80,100,11.01,GB,1666200700
15,Port Macquarie,-31.4333,152.9167,62.89,94,100,11.21,AU,1666200993
16,Atuona,-9.8,-139.0333,76.73,69,13,14.92,PF,1666200994
17,Cap Malheureux,-19.9842,57.6142,70.47,73,48,3.0,MU,1666200994
18,La Bañeza,42.3003,-5.8977,60.69,84,100,16.96,ES,1666200995
19,Port Hardy,50.6996,-127.4199,53.78,100,75,2.3,CA,1666200860
20,Vaini,-21.2,-175.2,69.96,100,40,3.44,TO,1666200996
21,Caranavi,-15.8167,-67.55,80.4,54,60,3.67,BO,1666200997
22,Bredasdorp,-34.5322,20.0403,64.02,80,7,10.13,ZA,1666200998
23,Kalmunai,7.4167,81.8167,79.52,82,87,4.54,LK,1666200998
24,Burtunay,42.9886,46.6303,52.57,48,94,5.86,RU,1666200999
25,Hithadhoo,-0.6,73.0833,80.15,77,100,7.61,MV,1666201000
26,Dargaville,-35.9333,173.8833,52.9,73,78,11.18,NZ,1666200839
27,Mednogorsk,51.4128,57.595,46.24,81,100,5.66,RU,1666201000
28,Samarai,-10.6167,150.6667,81.63,79,41,14.14,PG,1666201001
29,Dingle,10.9995,122.6711,76.26,90,99,2.01,PH,1666201001
30,Ushuaia,-54.8,-68.3,53.26,37,20,19.57,AR,1666200706
31,Lensk,60.7253,114.9278,29.25,86,100,9.98,RU,1666201002
32,Chokurdakh,70.6333,147.9167,-8.28,100,100,2.98,RU,1666201003
33,Kenai,60.5544,-151.2583,42.1,96,100,8.05,US,1666200922
34,Jilib,0.4883,42.7854,75.02,79,4,9.66,SO,1666201004
35,Lüderitz,-26.6481,15.1594,61.21,88,46,14.58,NA,1666201005
36,Ribeira Grande,38.5167,-28.7,65.77,72,40,20.71,PT,1666201005
37,Tiksi,71.6872,128.8694,17.49,84,100,11.36,RU,1666201006
38,Partizanskoye,55.5006,94.39,34.93,95,100,7.87,RU,1666201006
39,Fairbanks,64.8378,-147.7164,30.6,93,100,3.44,US,1666200935
40,Hong Kong,22.2855,114.1577,75.33,70,97,8.01,HK,1666200911
41,Saskylakh,71.9167,114.0833,5.67,91,70,9.78,RU,1666201007
42,Inta,66.0317,60.1659,34.54,97,100,15.75,RU,1666201007
43,Yellowknife,62.456,-114.3525,43.32,81,100,13.8,CA,1666200759
44,Guaporé,-28.8456,-51.8903,75.7,49,65,1.52,BR,1666200994
45,Padang,-0.9492,100.3543,73.45,83,87,3.11,ID,1666201011
46,Puerto Ayora,-0.7393,-90.3518,75.16,84,86,8.01,EC,1666201012
47,Ishigaki,24.3448,124.1572,75.33,73,100,23.02,JP,1666201012
48,Hermanus,-34.4187,19.2345,64.8,91,66,13.96,ZA,1666201012
49,Vad,55.5301,44.2114,45.21,91,97,4.61,RU,1666201013
50,Teknāf,20.8624,92.3058,77.52,87,4,3.27,BD,1666201014
51,Punta Arenas,-53.15,-70.9167,51.91,43,0,28.77,CL,1666200718
52,Cape Town,-33.9258,18.4232,67.87,79,0,9.22,ZA,1666201015
53,Cidreira,-30.1811,-50.2056,68.5,82,56,7.9,BR,1666201015
54,Ust'-Ishim,57.6935,71.1665,39.25,89,100,5.91,RU,1666201016
55,Clifton,40.8584,-74.1638,55.47,48,75,16.11,US,1666200754
56,Bengkulu,-3.8004,102.2655,75.47,92,100,3.91,ID,1666201016
57,Meadow Lake,34.8014,-106.5436,65.21,61,0,4.32,US,1666201017
58,Nantucket,41.2835,-70.0995,57.34,66,55,23.09,US,1666201017
59,Khovd,48.0056,91.6419,33.31,68,41,3.67,MN,1666201017
60,Bambous Virieux,-20.3428,57.7575,71.85,78,75,9.22,MU,1666201018
61,Suntar,62.1444,117.6319,23.4,87,87,7.4,RU,1666201018
62,Sitka,57.0531,-135.33,53.49,82,100,19.57,US,1666201019
63,Clyde River,70.4692,-68.5914,16.03,73,75,2.3,CA,1666201019
64,New Norfolk,-42.7826,147.0587,46.71,65,60,3.02,AU,1666201019
65,Kavieng,-2.5744,150.7967,81.57,78,85,11.74,PG,1666201020
66,La Chaux-de-Fonds,47.0999,6.8259,54.66,76,85,0.0,CH,1666201020
67,Nikolskoye,59.7035,30.7861,37.78,89,13,6.24,RU,1666201021
68,Poum,-20.2333,164.0167,75.34,75,71,11.34,NC,1666201023
69,Bluff,-46.6,168.3333,45.37,74,95,19.35,NZ,1666201023
70,Beidao,34.5686,105.8933,54.27,73,20,7.61,CN,1666201023
71,Beloha,-25.1667,45.05,69.33,83,15,17.81,MG,1666201024
72,Esim,4.8699,-2.2405,79.09,81,68,9.53,GH,1666201025
73,Palmer,42.1584,-72.3287,54.77,45,40,12.66,US,1666201026
74,Tabou,4.423,-7.3528,78.13,83,60,8.05,CI,1666201026
75,Butaritari,3.0707,172.7902,81.27,71,72,14.63,KI,1666201028
76,Norrtälje,59.758,18.705,44.02,70,100,7.58,SE,1666201028
77,Riverton,40.5219,-111.9391,73.02,33,0,5.99,US,1666201029
78,Olafsvik,64.8945,-23.7142,44.42,83,100,18.07,IS,1666201030
79,Faya,18.3851,42.4509,64.51,46,2,4.34,SA,1666201030
80,Iracoubo,5.4802,-53.2011,84.36,69,63,12.62,GF,1666201031
81,Hasaki,35.7333,140.8333,54.28,57,27,16.46,JP,1666201032
82,Deputatsky,69.3,139.9,-8.27,89,16,4.34,RU,1666201033
83,San Cristobal,7.7669,-72.225,80.78,77,72,3.71,VE,1666201033
84,North Bend,43.4065,-124.2243,53.51,100,40,6.91,US,1666201034
85,Mafinga,-7.25,35.0667,78.03,35,43,11.79,TZ,1666201035
86,Mount Isa,-20.7333,139.5,69.57,68,0,0.0,AU,1666201035
87,Arraial do Cabo,-22.9661,-42.0278,78.76,78,40,17.27,BR,1666201036
88,Esperance,-33.8667,121.9,64.63,51,2,19.53,AU,1666201036
89,Alta Floresta,-9.8756,-56.0861,93.02,52,40,4.61,BR,1666201037
90,North Platte,41.1239,-100.7654,62.38,36,0,5.99,US,1666201039
91,Verkhoyansk,67.5447,133.385,-3.73,97,74,2.04,RU,1666201039
92,Turukhansk,65.8167,87.9833,32.31,93,100,16.89,RU,1666201040
93,Airai,-8.9266,125.4092,63.7,89,100,0.56,TL,1666201041
94,Longyearbyen,78.2186,15.6401,22.84,68,75,20.71,SJ,1666201041
95,Kaitangata,-46.2817,169.8464,39.22,88,90,5.21,NZ,1666201042
96,Chui,-33.6971,-53.4616,67.64,75,54,12.57,UY,1666201042
97,Dikson,73.5069,80.5464,33.35,98,100,10.98,RU,1666201043
98,Kattivākkam,13.2167,80.3167,84.29,82,96,7.83,IN,1666201044
99,Tasiilaq,65.6145,-37.6368,33.96,84,53,2.3,GL,1666201045
100,Kloulklubed,7.0419,134.2556,77.5,76,95,13.73,PW,1666201046
101,Port Blair,11.6667,92.75,80.64,83,75,9.22,IN,1666201046
102,Gornopravdinsk,60.05,69.9,39.99,91,100,7.63,RU,1666201047
103,Kapaa,22.0752,-159.319,73.38,91,100,4.61,US,1666201047
104,Moerai,-22.4333,-151.3333,72.99,78,29,23.51,PF,1666201048
105,Albany,42.6001,-73.9662,50.41,56,42,1.99,US,1666200711
106,Opochka,56.7105,28.6617,40.24,82,82,11.97,RU,1666201049
107,Barrow,71.2906,-156.7887,24.82,86,100,6.91,US,1666201049
108,Cherskiy,68.75,161.3,17.01,94,100,6.93,RU,1666201050
109,Ponta do Sol,32.6667,-17.1,75.83,75,98,9.53,PT,1666201050
110,Viedma,-40.8135,-62.9967,76.82,39,31,18.81,AR,1666201051
111,Araouane,18.9048,-3.5265,93.94,14,35,3.76,ML,1666201052
112,Pisco,-13.7,-76.2167,64.45,72,20,10.36,PE,1666201052
113,Sistranda,63.7256,8.834,44.56,79,100,23.96,NO,1666201053
114,Upernavik,72.7868,-56.1549,18.14,86,87,3.74,GL,1666201054
115,Haines Junction,60.7522,-137.5108,33.75,100,95,0.0,CA,1666201054
116,Lorengau,-2.0226,147.2712,80.73,73,98,6.17,PG,1666201055
117,‘Ewa Beach,21.3156,-158.0072,79.02,75,0,4.61,US,1666201055
118,St. Marys,30.7305,-81.5465,63.01,41,0,8.05,US,1666201055
119,Straumen,63.8709,11.2999,44.6,81,100,14.52,NO,1666201056
120,Naze,28.3667,129.4833,70.72,62,18,18.75,JP,1666201056
121,Tarko-Sale,64.9225,77.785,36.7,91,100,15.73,RU,1666201057
122,Mahon,39.8885,4.2658,72.16,88,20,3.44,ES,1666200885
123,Desaguadero,-16.5656,-69.0417,62.01,29,12,19.42,PE,1666201057
124,Mahébourg,-20.4081,57.7,71.89,78,75,9.22,MU,1666200837
125,Moroni,-11.7022,43.2551,75.69,80,51,5.32,KM,1666201059
126,Tura,25.5198,90.2201,67.6,73,0,4.05,IN,1666201060
127,Qaqortoq,60.7167,-46.0333,37.38,94,100,21.14,GL,1666201060
128,Aklavik,68.2191,-135.0107,26.6,93,100,5.75,CA,1666201061
129,Saint-Philippe,-21.3585,55.7679,71.19,77,44,8.77,RE,1666201061
130,Lebu,-37.6167,-73.65,56.52,76,75,6.51,CL,1666201062
131,Khatanga,71.9667,102.5,16.95,96,100,7.11,RU,1666201062
132,Dunedin,-45.8742,170.5036,45.81,71,80,5.1,NZ,1666200829
133,Changji,44.0167,87.3167,43.59,93,0,2.24,CN,1666201063
134,Waddān,29.1614,16.139,72.79,46,63,9.31,LY,1666201063
135,Codrington,-38.2667,141.9667,48.61,94,2,7.18,AU,1666201063
136,La Ronge,55.1001,-105.2842,52.02,57,75,3.44,CA,1666201064
137,Casablanca,33.5928,-7.6192,75.42,83,0,6.91,MA,1666200983
138,Nyurba,63.2842,118.3319,16.93,94,65,6.02,RU,1666201064
139,Bathsheba,13.2167,-59.5167,88.41,79,40,11.5,BB,1666201065
140,Karīmganj,24.8667,92.35,71.19,83,0,3.06,IN,1666201065
141,Tuktoyaktuk,69.4541,-133.0374,23.0,100,100,0.0,CA,1666201066
142,Flinders,-34.5833,150.8552,62.38,90,100,4.0,AU,1666201066
143,Meulaboh,4.1363,96.1285,75.6,89,100,3.31,ID,1666201067
144,Maragogi,-9.0122,-35.2225,79.59,66,36,11.74,BR,1666201067
145,Saint Anthony,45.0205,-93.218,44.82,40,0,9.22,US,1666201068
146,Araguaína,-7.1911,-48.2072,101.55,19,62,5.44,BR,1666201068
147,Annau,37.8876,58.516,54.9,94,40,9.22,TM,1666201068
148,Port Elizabeth,-33.918,25.5701,72.32,89,0,6.91,ZA,1666201069
149,Thompson,55.7435,-97.8558,41.16,70,40,8.05,CA,1666201069
150,Ust-Nera,64.5667,143.2,-6.14,100,71,3.85,RU,1666201070
151,Honiara,-9.4333,159.95,77.72,85,78,2.84,SB,1666201071
152,Afyonkarahisar,38.75,30.6667,58.71,65,25,1.28,TR,1666201071
153,Itoman,26.1247,127.6694,75.22,73,100,19.57,JP,1666201072
154,Brae,60.3964,-1.353,43.81,65,65,4.94,GB,1666201072
155,Hobart,-42.8794,147.3294,47.05,87,29,4.61,AU,1666200926
156,Almaty,43.25,76.95,43.16,83,100,5.75,KZ,1666201073
157,Belmonte,-15.8631,-38.8828,79.61,63,23,7.63,BR,1666201074
158,Cabo San Lucas,22.8909,-109.9124,87.62,69,20,2.3,MX,1666201075
159,Vila Franca do Campo,37.7167,-25.4333,66.61,71,94,22.48,PT,1666201075
160,Saint-Joseph,-21.3667,55.6167,70.18,75,24,9.17,RE,1666201076
161,Coquimbo,-29.9533,-71.3436,62.33,63,20,14.97,CL,1666201076
162,Florø,61.5996,5.0328,42.76,81,40,8.05,NO,1666201077
163,Ketchikan,55.3422,-131.6461,54.07,82,100,8.05,US,1666201077
164,Carnarvon,-24.8667,113.6333,66.02,82,0,11.77,AU,1666201078
165,Berlevåg,70.8578,29.0864,39.15,65,100,33.38,NO,1666201078
166,Walvis Bay,-22.9575,14.5053,63.55,77,42,11.5,NA,1666201078
167,Chumikan,54.7183,135.315,36.12,70,89,19.35,RU,1666201080
168,Gao,16.6362,1.637,89.1,13,0,10.85,ML,1666201080
169,Tombouctou,20.0,-3.0,91.65,15,80,7.78,ML,1666201081
170,Fortuna,40.5982,-124.1573,59.92,67,0,4.61,US,1666201082
171,Qaanaaq,77.484,-69.3632,-1.05,71,2,8.25,GL,1666201083
172,Norman Wells,65.282,-126.8329,30.24,100,100,0.0,CA,1666201084
173,Ossora,59.2353,163.0719,29.41,63,100,5.08,RU,1666201084
174,Katsuura,35.1333,140.3,58.91,68,66,16.2,JP,1666201085
175,Kruisfontein,-34.0033,24.7314,76.15,59,56,4.61,ZA,1666201085
176,Tateyama,34.9833,139.8667,56.1,70,61,15.68,JP,1666201086
177,Vila Velha,-20.3297,-40.2925,76.95,85,100,10.36,BR,1666201076
178,Novoagansk,61.9449,76.6625,39.29,97,100,11.21,RU,1666201088
179,Hibbing,47.4272,-92.9377,38.8,52,0,10.36,US,1666201090
180,Qaryat Sulūq,31.6682,20.2521,69.33,61,37,8.72,LY,1666201091
181,Manokwari,-0.8667,134.0833,78.53,82,87,9.19,ID,1666201092
182,Moose Factory,51.2585,-80.6094,42.8,93,100,4.61,CA,1666201093
183,Dunga Bunga,29.7493,73.2432,80.29,16,1,7.56,PK,1666201094
184,Mineiros,-17.5694,-52.5511,93.49,21,32,1.81,BR,1666201095
185,Richards Bay,-28.783,32.0377,73.4,77,52,11.18,ZA,1666201095
186,Kirakira,-10.4544,161.9205,78.71,86,93,5.97,SB,1666201096
187,Beruwala,6.4788,79.9828,77.49,91,98,8.34,LK,1666201096
188,Vao,-22.6667,167.4833,70.74,68,79,15.28,NC,1666201097
189,Mayo,38.8876,-76.5119,57.13,47,75,21.0,US,1666201098
190,Coyhaique,-45.5752,-72.0662,59.61,67,75,5.75,CL,1666201098
191,Bonanza,14.0289,-84.591,89.15,49,95,3.4,NI,1666201099
192,Tyukhtet,56.5389,89.3011,36.61,97,100,6.33,RU,1666201099
193,Quiruvilca,-7.9667,-78.2,47.75,62,100,3.94,PE,1666201100
194,East London,-33.0153,27.9116,72.54,88,0,8.05,ZA,1666200978
195,Bilibino,68.0546,166.4372,17.06,91,100,8.75,RU,1666201101
196,Ati,13.2154,18.3353,92.35,19,6,3.31,TD,1666201101
197,Comayagua,14.45,-87.6333,83.28,65,69,4.92,HN,1666201040
198,Shatoy,42.8714,45.6886,59.22,61,94,5.68,RU,1666201103
199,Avera,33.194,-82.5271,58.55,27,0,7.45,US,1666201103
200,Kamenka,51.3223,42.7678,48.92,81,100,11.48,RU,1666201104
201,Spornoye,50.8448,37.2913,48.34,86,100,4.16,RU,1666201105
202,Sabang,5.8933,95.3214,81.03,79,100,23.78,ID,1666201105
203,Minggang,32.4586,114.0486,53.76,52,12,4.03,CN,1666201106
204,Paciran,-6.8767,112.3761,80.02,82,100,2.68,ID,1666201107
205,Kaoma,-14.7833,24.8,78.58,24,72,6.38,ZM,1666201107
206,Kieta,-6.2167,155.6333,78.06,77,89,2.82,PG,1666201108
207,Barra de Tecoanapa,16.5167,-98.75,74.44,93,100,12.88,MX,1666201108
208,Leningradskiy,69.3833,178.4167,28.22,90,100,23.4,RU,1666201109
209,Myitkyina,25.3833,97.4,67.66,89,1,2.17,MM,1666201109
210,Umluj,25.0213,37.2685,82.27,68,2,5.75,SA,1666201110
211,Foam Lake,51.65,-103.5343,53.62,42,66,12.12,CA,1666201111
212,Kuusamo,65.9667,29.1833,35.64,80,20,6.91,FI,1666201113
213,Makakilo City,21.3469,-158.0858,77.61,75,0,4.61,US,1666201099
214,Rondonópolis,-16.4708,-54.6356,100.58,21,29,5.48,BR,1666200915
215,Morondava,-20.2833,44.2833,78.39,81,7,15.23,MG,1666201114
216,Herat Province,34.5,62.0,48.34,76,0,7.58,AF,1666201114
217,Cockburn Town,21.4612,-71.1419,85.96,66,40,11.5,TC,1666200855
218,Warrington,53.3925,-2.5802,56.44,76,0,16.11,GB,1666201115
219,Provideniya,64.3833,-173.3,35.76,98,100,33.04,RU,1666201116
220,Xiaoweizhai,26.1903,107.5125,56.88,38,99,0.58,CN,1666201117
221,Pemberton,50.3164,-122.8027,65.21,54,12,1.16,CA,1666201114
222,Kiryat Gat,31.61,34.7642,74.08,100,44,4.79,IL,1666201117
223,Carutapera,-1.195,-46.02,87.31,59,98,12.88,BR,1666201118
224,Vardø,70.3705,31.1107,37.38,65,75,34.52,NO,1666201118
225,Narsaq,60.9167,-46.05,37.62,96,99,13.4,GL,1666201118
226,Sisimiut,66.9395,-53.6735,26.02,80,99,8.61,GL,1666201120
227,Hualmay,-11.0964,-77.6139,67.15,70,86,13.11,PE,1666201121
228,Lompoc,34.6391,-120.4579,89.85,42,0,10.36,US,1666201121
229,Chihuahua,28.5,-106.0,54.43,58,45,5.46,MX,1666200847
230,Darhan,49.4867,105.9228,37.58,73,100,5.5,MN,1666201122
231,Strezhevoy,60.7333,77.5889,39.97,95,100,12.01,RU,1666201122
232,Atar,20.5169,-13.0499,97.18,10,68,8.63,MR,1666201123
233,San Quintín,30.4833,-115.95,79.92,44,15,4.5,MX,1666201123
234,Saryg-Sep,51.5,95.6,29.34,93,47,2.35,RU,1666201124
235,Adrar,20.5022,-10.0711,94.08,11,9,7.43,MR,1666201124
236,Lagoa,39.05,-27.9833,65.19,76,100,33.42,PT,1666201124
237,Quryq,43.2,51.65,62.04,68,53,22.75,KZ,1666201125
238,Gravdal,68.1214,13.5031,42.69,87,75,5.75,NO,1666201125
239,Gua Musang,4.8823,101.9644,74.5,100,100,1.5,MY,1666201126
240,Riyadh,24.6877,46.7219,80.74,12,32,3.69,SA,1666200880
241,Tlacotepec (San Mateo),20.0667,-97.8667,54.93,99,100,2.82,MX,1666201126
242,Ancud,-41.8697,-73.8203,63.23,81,69,8.86,CL,1666201127
243,Majene,-3.5403,118.9707,78.42,88,99,3.91,ID,1666201127
244,Mar del Plata,-38.0023,-57.5575,62.62,91,40,15.99,AR,1666201128
245,Ilulissat,69.2167,-51.1,28.42,74,75,10.36,GL,1666201128
246,Kupang,-10.1667,123.5833,79.7,79,53,3.13,ID,1666201129
247,Folldal,62.1325,9.9968,31.73,77,47,2.71,NO,1666201129
248,Souillac,-20.5167,57.5167,71.98,78,75,9.22,MU,1666201130
249,Pevek,69.7008,170.3133,27.28,96,100,5.84,RU,1666201130
250,Tahoua,14.8888,5.2692,94.98,18,0,0.0,NE,1666201131
251,General Roca,-39.0333,-67.5833,81.63,25,19,13.96,AR,1666201131
252,Betlitsa,54.0095,33.9588,42.03,91,90,8.57,RU,1666201132
253,Comodoro Rivadavia,-45.8667,-67.5,73.26,27,0,20.71,AR,1666201132
254,Sabha,27.0377,14.4283,70.97,41,59,3.44,LY,1666201133
255,Izyum,49.2088,37.2485,50.25,94,100,5.35,UA,1666201133
256,Constanța,44.1833,28.65,59.7,63,2,10.65,RO,1666201134
257,Bethel,41.3712,-73.414,53.85,51,75,12.66,US,1666201134
258,Dutlwe,-23.9833,23.9,77.81,37,57,8.63,BW,1666201136
259,Findlay,41.0442,-83.6499,45.55,81,100,12.66,US,1666200862
260,Benjamín Hill,30.1667,-111.1,77.99,37,2,6.51,MX,1666201136
261,Jalu,29.0331,21.5482,72.81,38,33,9.06,LY,1666201137
262,Nouadhibou,20.931,-17.0347,84.18,48,2,14.97,MR,1666201137
263,Rio Grande,-32.035,-52.0986,73.51,80,22,11.54,BR,1666201139
264,Lavrentiya,65.5833,-171.0,36.05,89,100,26.62,RU,1666201139
265,Morón,-34.6534,-58.6198,73.96,68,47,8.88,AR,1666201140
266,Usinsk,65.9939,57.5281,33.28,97,100,17.0,RU,1666201141
267,Iqaluit,63.7506,-68.5145,24.53,63,20,4.61,CA,1666201141
268,Bria,6.5423,21.9863,71.69,92,90,0.76,CF,1666201142
269,Necochea,-38.5473,-58.7368,71.69,52,24,13.8,AR,1666201142
270,Ulladulla,-35.35,150.4667,61.7,90,100,3.33,AU,1666201143
271,Gelemso,8.8167,40.5167,64.31,41,78,3.02,ET,1666201144
272,Nandi,13.3855,77.6984,67.6,88,51,3.65,IN,1666201144
273,Kahului,20.8947,-156.47,79.84,73,0,1.01,US,1666200933
274,Marsá Maţrūḩ,31.3525,27.2453,73.6,73,40,8.05,EG,1666201145
275,Porvoo,60.3923,25.6651,39.24,81,88,6.31,FI,1666201146
276,Matagami,49.7502,-77.6328,39.31,93,100,11.5,CA,1666201146
277,Clonakilty,51.6231,-8.8706,58.21,92,100,22.97,IE,1666201147
278,Vanimo,-2.6741,141.3028,76.55,91,93,3.74,PG,1666201148
279,Garden City,42.3256,-83.331,44.06,81,100,12.66,US,1666200984
280,Broome,42.2506,-75.833,44.71,73,100,17.27,US,1666201149
281,Vilhena,-12.7406,-60.1458,84.42,61,20,11.5,BR,1666201149
282,Moree,-29.4667,149.85,64.42,88,100,17.27,AU,1666201150
283,Leshukonskoye,64.8989,45.7622,35.15,84,100,8.88,RU,1666201151
284,Jasper,37.2001,-94.3502,50.68,25,0,9.22,US,1666201054
